place,rainfall,groundwater_refilled_total,groundwater_refilled_irrigated,groundwater_refilled_nonirrigated,groundwater_used_total,groundwater_used_nonirrigated,groundwater_status,land_irrigated,land_nonirrigated,land_total,year
panagar,1279.45,8589.8,1946.5,6643.3,5323.4,4923.39,safe,7500,19180,26680,2021
sitamau,753.7,18347.99,1763.1,16584.89,21492.19,20704.46,over_exploited,9738,117862,127600,2021
thikri,719.2,15582.78,8334.49,7248.29,7423.53,6754.06,safe,17473,54442,75700,2021
birsa,1471.6,10941.95,0,10941.95,505.75,505.75,safe,0,135798,141543,2021
gogawan,782.9,5613.86,1812.5,3801.36,3120.76,2549.88,safe,9693,31017,40710,2021
vijaypur,799.2,8497.2,1250.07,7247.13,5795.89,5225.81,semi_critical,11000,152700,289300,2021
lateri,1071.4,9243.52,0,9243.52,4723.77,4723.77,safe,0,89200,98600,2021
vidisha,1071.4,18415.93,7543.94,10871.99,9299.58,7953.24,safe,40080,66190,107400,2021
guna,1082,15422.83,1066.9,14355.93,10054.44,9883.75,safe,4768,139347,157815,2021
sohawal,1075.5,10288.08,1336.66,8951.42,6880.71,6701.22,semi_critical,10442,66750,77192,2021
ajaigarh,1182.9,18241.14,1033.05,17208.09,6566.76,6331.78,safe,2762,87168,91055,2021
dahi,902.3,9510.91,3510.46,6000.45,3194.43,3073.25,safe,2932,45268,48200,2021
rama,835.1,2527.22,0,2527.22,1501.85,1501.85,safe,0,45700,59400,2021
murwara,1171.4,7269.52,1444.86,5824.66,3662.06,3410.93,safe,9278,56922,66200,2021
begamganj,1207.3,10468.63,0,10468.63,6003.3,6003.3,safe,0,89300,91200,2021
bagli,1069,21792.27,487.09,21305.18,13836.43,13726.75,safe,3848,177000,204540,2021
burhar,1131.4,13668.91,0,13668.91,1468.83,1468.83,safe,0,111400,134700,2021
narsinghgarh,972,17686.34,0,17686.34,16464.65,16464.65,critical,0,136800,136800,2021
manawar,902.3,10203.37,7619.39,2583.98,3159.41,1607.38,safe,31555,23945,55500,2021
chanderi,926,6928.93,708.59,6220.34,4708.51,4540.76,semi_critical,4799,104071,113070,2021
seoni,1323.6,11013.07,2179.43,8833.64,7147.46,6564.06,safe,22290,106910,136300,2021
chawarpatha,1191,23864.81,0,23864.81,14682.25,14682.25,safe,0,91900,93300,2021
menhadwani,1376.7,4428.3,0,4428.3,447.01,447.01,safe,0,52800,68500,2021
sirmour,1141.45,5588.49,1780.34,3808.15,3554.4,2647.83,safe,21510,64810,91320,2021
batiyagarh,1176,8141.42,608.24,7533.18,4675.38,4549.55,safe,4095,85087,122500,2021
ghughari,1427.7,5816.1,0,5816.1,494.69,494.69,safe,0,88080,110100,2021
ghatia,1116.3,13476.1,0,13476.1,15650.4,15650.4,over_exploited,0,64163,64163,2021
niwas,1427.7,3862.11,0,3862.11,901.31,901.31,safe,0,38880,84600,2021
ramnagar,1075.5,6202.37,0,6202.37,2285.46,2285.46,safe,0,50354,60054,2021
rampur naikin,1154.15,8369.44,1958.18,6411.26,3026.77,2868.14,safe,17110,77944,119400,2021
rewa,1141.45,5681.69,2371.16,3310.53,3704.65,2765.17,safe,25008,45412,70420,2021
waidhan,1120.7,14795.1,899.06,13896.04,7020.69,6783.96,safe,4452,135448,190400,2021
karkeli,1243,10085.04,0,10085.04,2545.65,2545.65,safe,0,156000,173000,2021
anuppur,1423.6,7942.05,0,7942.05,517.95,517.95,safe,0,55700,59000,2021
deosar,1120.7,12010.46,223.52,11786.94,3792.35,3723.73,safe,2150,137960,182200,2021
malthon,1205,7733.38,145.71,7587.67,3552.78,3530.94,safe,979,76901,83800,2021
karera,994.9,8142.32,1872.02,6270.3,3921.1,3410.8,safe,13022,86878,101400,2021
beohari,1131.4,6822.21,702.92,6119.29,1411.16,1339.03,safe,5047,89453,111000,2021
gohparu,1131.4,9573.31,0,9573.31,509.33,509.33,safe,0,81000,93500,2021
rajnagar,1092.7,17800.48,2949.76,14850.72,9897.73,9259.47,safe,24804,106271,137835,2021
bhanpura,753.7,8078.64,3448.19,4630.45,6186.93,4715.57,semi_critical,20590,30058,105118,2021
mandsaur,753.7,16858.29,1085.13,15773.16,17592.58,17133.84,over_exploited,4986,121614,126600,2021
patera,1176,4127.97,630.17,3497.8,2433.44,2341.78,safe,5851,51849,72300,2021
sausar,1139.25,8476.96,1289.33,7187.63,3931.02,3675.66,safe,6931,62382,80800,2021
jaora,992.85,16462.29,0,16462.29,25332.17,25332.17,over_exploited,0,76300,76300,2021
amarwara,1139.25,10534.98,0,10534.98,6219.93,6219.93,safe,0,93955,102200,2021
nateran,1071.4,11295.34,2718.51,8576.83,6534.76,6371.59,safe,20211,77489,113000,2021
basoda,1071.4,14092.78,374.62,13718.16,9107.83,8821.45,safe,2241,106559,122300,2021
obedullaganj,1207.3,9594.64,0,9594.64,8145.97,8145.97,semi_critical,0,86440,174940,2021
budni,1157.4,11220.2,7866.22,3353.98,3757.85,2553.39,safe,29876,29897,107511,2021
vijayraghavgarh,1171.4,5589.41,0,5589.41,3461.61,3461.61,safe,0,74300,75100,2021
dhar,902.3,10584.46,0,10584.46,14965.33,14965.33,over_exploited,0,60200,60200,2021
palera,943.6,7040.92,956.05,6084.87,5521.44,5379.24,semi_critical,2468,69154,74822,2021
lalbarra,1471.6,7215.05,2060.3,5154.75,2347.99,1733.13,safe,20858,49374,71592,2021
khirkiya,1374.5,6872.86,0,6872.86,4482.49,4482.49,safe,0,79440,124000,2021
jhiranya,782.9,8867.72,1864.81,7002.91,4481.66,4237.71,safe,5442,61027,118900,2021
udaipura,1207.3,12048.42,0,12048.42,6854.79,6854.79,safe,0,64200,81700,2021
manasa,854.85,12096.9,623.46,11473.44,8983.88,8628.82,semi_critical,6836,108464,149600,2021
bina,1205,12203.81,94.8,12109.01,7905.76,7868.89,safe,410,81690,82600,2021
kurai,1323.6,15342.94,0,15342.94,3349.67,3349.67,safe,0,166970,178300,2021
malhargarh,753.7,13012.85,2516.83,10496.02,9730.63,8588.41,semi_critical,12931,67669,80600,2021
jaisinagar,1205,10923.03,422.06,10500.97,6480.27,6405.97,safe,2277,74213,91300,2021
ambah,753,7531.05,7531.05,0,4029.67,2162.323751,safe,51100,0,51100,2021
bhander,963.8,12528.27,8500.32,4027.95,3371.38,2308.85,safe,41252,23248,65600,2021
bajang,1376.7,3368.95,0,3368.95,355.44,355.44,safe,0,43600,54500,2021
shahpura,1376.7,7660.51,0,7660.51,1229.56,1229.56,safe,0,111840,139800,2021
ater,951,15997.57,5231.15,10766.42,5027,4461.15,safe,16074,45126,61200,2021
mawai,1427.7,8814.82,0,8814.82,1201.75,1201.75,safe,0,117040,146300,2021
burhanpur,883.8,19821.01,1626.87,18194.14,12845.67,12568.17,semi_critical,5866,111134,178600,2021
seoni malwa,1324.5,41401.83,24729.19,16672.64,4135.17,3236.7,safe,58080,75827,137500,2021
barghat,1323.6,6972.89,1136.82,5836.07,3577.6,3304.75,safe,12285,56885,72000,2021
shajapur,1036.1,13014.89,0,13014.89,10026.86,10026.86,semi_critical,0,88307,91786,2021
harrai,1139.25,9086.58,0,9086.58,3164.87,3164.87,safe,0,127238,210700,2021
bhagwanpura,782.9,7815.94,2451.99,5363.95,3180.6,2979.29,safe,7917,44481,131800,2021
ashta,1157.4,14351.22,1293.19,13058.03,12118.42,11718.46,critical,7707,110484,144257,2021
pushparajgarh,1423.6,9657.26,0,9657.26,826.94,826.94,safe,0,120500,176400,2021
khairlanji,1471.6,4150.31,1233.57,2916.74,2102.33,1839.81,safe,13658,31730,48788,2021
kesala,1324.5,18925.62,9272.6,9653.02,4051.33,3912.21,safe,16570,64685,88300,2021
nalkheda,1036.1,10457.49,0,10457.49,11862.3,11862.3,over_exploited,0,56217,60732,2021
samnapur,1376.7,4077.27,0,4077.27,572.73,572.73,safe,0,52320,65400,2021
khaniyadhana,994.9,10174.97,1897.95,8277.02,7726.93,7078.69,semi_critical,20650,102594,129200,2021
mauganj,1141.45,4093.45,0,4093.45,2764.87,2764.87,semi_critical,0,44730,52730,2021
biaora,972,17774.8,0,17774.8,15076.41,15076.41,semi_critical,0,114800,114800,2021
sawer,976.8,12999.19,0,12999.19,14147.52,14147.52,over_exploited,0,76025,76900,2021
majhgawan,1075.5,13309.52,0,13309.52,4799.36,4799.36,safe,0,139912,164882,2021
saikheda,1191,13126.04,0,13126.04,8712.27,8712.27,safe,0,61000,61000,2021
rehli,1205,7078.35,248.78,6829.57,3961.84,3898.43,safe,2137,99843,112500,2021
seondha,963.8,22139.96,11074.88,11065.08,7529.63,4371.06,safe,47908,44692,92600,2021
babai,1324.5,32539.67,32539.67,0,2938.48,2162.323751,safe,89200,0,89200,2021
ranapur,835.1,1747.89,0,1747.89,1088.84,1088.84,safe,0,38400,40400,2021
niwali,719.2,4001.17,95.84,3905.33,2487.01,2451.87,safe,470,35091,59610,2021
kirnapur,1471.6,6339.44,0,6339.44,2032.96,2032.96,safe,0,76240,81040,2021
bargi,1279.45,5283.38,1817.88,3465.5,2924.38,2574.82,safe,13640,27350,72794,2021
sardarpur,902.3,19654.5,5449.74,14204.76,8475.71,7700.82,safe,17730,110270,128000,2021
nasrullaganj,1157.4,14576.06,5665.14,8910.92,5916.49,5002.26,safe,35009,53833,136522,2021
punasa,951.65,50110.68,47188.96,2921.72,4380.19,2032.37,safe,66420,24080,94500,2021
majholi,1279.45,6672.28,0,6672.28,3314.16,3314.16,safe,0,62265,62265,2021
pohari,994.9,14088.84,578.34,13510.5,6302.18,6209.09,safe,2399,149119,157300,2021
baldi,951.65,6363.03,0,6363.03,3359.53,3359.53,safe,0,54524,111700,2021
kotma,1423.6,4500.71,0,4500.71,3345.47,3345.47,semi_critical,0,34000,40000,2021
unchehara,1075.5,8214.97,1407.52,6807.45,4534.46,4452.62,safe,1666,74257,89691,2021
jabalpur urban,1279.45,3372.87,0,3372.87,2689.41,2689.41,semi_critical,0,36840,39449,2021
petlawad,835.1,11412.42,4176.24,7236.18,2870.66,2465.22,safe,17018,74635,97700,2021
niwari,943.6,7202.69,1508.76,5693.93,4826.27,4230.43,semi_critical,5289,53311,60600,2021
patan,1279.45,16107.39,7314.69,8792.7,6328.52,3744.56,safe,29902,70498,100400,2021
narsinghpur,1191,21993.09,4296.56,17696.53,16233.2,15675.66,semi_critical,18631,65769,96900,2021
dewas,1069,16030.25,0,16030.25,17199.51,17199.51,over_exploited,0,99961,100744,2021
pali,1243,7890.89,0,7890.89,768.04,768.04,safe,0,81300,91000,2021
badwara,1171.4,8426.86,1334.42,7092.44,4119.41,3892.4,safe,9278,83580,94200,2021
alot,992.85,16829.71,0,16829.71,18124.29,18124.29,over_exploited,0,94500,94500,2021
shahnagar,1182.9,6979.94,1161.9,5818.04,2289.2,2156.34,safe,8908,114191,143999,2021
ghoda dongri,1074.8,14882.66,535.24,14347.42,2873.94,2748.85,safe,1560,112440,130000,2021
bijawar,1092.7,13741.76,144.63,13597.13,9021.94,8967.11,semi_critical,1004,140839,159043,2021
mahidpur,861.5,17744.47,0,17744.47,13637.27,13637.27,semi_critical,0,113453,113453,2021
kasrawad,782.9,18962.32,11354.26,7608.06,5925.03,4855.2,safe,44357,56843,101200,2021
manpur,1243,17844.94,0,17844.94,3062.33,3062.33,safe,0,184600,189900,2021
badi,1207.3,24641.78,17357.12,7284.66,3587.04,2005.77,safe,58600,83200,141900,2021
shohagpur,1324.5,12037.91,6866.42,5171.49,4347.46,3732.96,safe,15373,28017,111300,2021
sendhwa,719.2,9302.11,1919.3,7382.81,4616.48,4338.39,safe,9275,69472,122530,2021
chichli,1191,19544.57,0,19544.57,10677.67,10677.67,safe,0,85600,96000,2021
nainpur,1427.7,6719.52,3127.8,3591.72,1375.78,1108.27,safe,18135,45715,79800,2021
kailaras,753,8326.84,5684.75,2642.09,2876.2,1601.84,safe,29144,23150,52294,2021
bhind,951,16175.27,7999.04,8176.23,4333.81,3847.85,safe,25614,50586,76200,2021
pipariya,1324.5,22805.29,4948.56,17856.73,7887.45,7426.16,safe,17000,69300,98300,2021
chaurai,1139.25,13235.88,0,13235.88,7758.97,7758.97,safe,0,113973,117200,2021
sidhi,1154.15,4630.71,660.9,3969.81,2884.24,2739.21,safe,9500,52450,84400,2021
nisarpur,902.3,6681.97,4822.58,1859.39,2162.6,929.61,safe,20850,14450,35300,2021
gwalior urban,870,5482.11,0,5482.11,3938.19,3938.19,semi_critical,0,42335,42335,2021
sagar,1205,15507.4,352.7,15154.7,7758.84,7712.21,safe,3187,104383,117300,2021
jobat,836.2,2255.57,0,2255.57,1408.37,1408.37,safe,0,36900,38900,2021
khilchipur,972,11897.02,0,11897.02,9921.61,9921.61,semi_critical,0,78400,78400,2021
bada malhera,1092.7,12479.36,2769.11,9710.25,7307.48,7011.47,safe,8862,80638,108235,2021
mhow,976.8,11087.53,601.41,10486.12,8418.97,8105.86,semi_critical,3544,98548,104700,2021
khandwa,951.65,10308.31,696.35,9611.96,6515.02,6306.28,safe,4084,78391,83100,2021
prithvipur,943.6,12312.5,1544.56,10767.94,7798.85,7453.23,safe,7541,86421,95862,2021
shahnagar,1205,6670.48,2004.59,4665.89,3109.41,2916.4,safe,8380,55470,69700,2021
kesli,1205,11449.08,1016.37,10432.71,6329.02,6102.9,safe,5789,60071,79100,2021
agar,1036.1,11877.75,3140.88,8736.87,6476.02,5835.9,safe,11375,54071,72440,2021
bagh,902.3,6688.81,1441.94,5246.87,1884.73,1754.12,safe,4007,47193,51200,2021
chitrangi,1120.7,7772.73,0,7772.73,3482.44,3482.44,safe,0,171250,194600,2021
lanji,1471.6,9492.85,2283.2,7209.65,1603.8,1288.11,safe,21423,64473,87126,2021
ashoknagar,926,10935.15,672.72,10262.43,6694.63,6502.94,safe,3506,121297,124803,2021
nagod,1075.5,12154.23,1477.9,10676.33,7542.43,7477.58,safe,1750,89750,95000,2021
mandla,1427.7,4369.39,1339.72,3029.67,1375.19,1172.3,safe,7897,41463,61700,2021
pichhore,994.9,7671.85,1934.16,5737.69,5620.43,5047.25,semi_critical,14559,88325,109100,2021
kannod,1069,13404.62,2696.82,10707.8,7435.16,6976.4,safe,14696,73396,146300,2021
khalwa,951.65,11591.62,0,11591.62,6701.68,6701.68,safe,0,97000,148900,2021
kareli,1191,21585.46,3151.4,18434.06,13169.9,13010.06,safe,13238,70162,93300,2021
pandhurna,1139.25,11298.23,0,11298.23,9632.84,9632.84,semi_critical,0,87186,97200,2021
baldeogarh,943.6,9429.57,1047.9,8381.67,6341.2,5861.63,semi_critical,6579,75717,85896,2021
morar,870,13398.18,0,13398.18,7291.68,7291.68,safe,0,79775,79775,2021
rampur-baghelan,1075.5,9330.75,3724.31,5606.44,7537.63,7086.49,semi_critical,31250,46344,87394,2021
kukshi,902.3,5465.18,1586.5,3878.68,1768,1667.02,safe,3377,30923,34300,2021
badnawar,902.3,17595.97,1135.72,16460.25,19369.91,18877.4,over_exploited,3420,100320,106400,2021
sonkutch,1069,10764.46,0,10764.46,10018.14,10018.14,over_exploited,0,58120,68100,2021
kalapipal,1036.1,14679.53,0,14679.53,14681.75,14681.75,over_exploited,0,82567,82567,2021
gunnor,1182.9,6284.34,713.54,5570.8,2341.49,2191.89,safe,2790,111227,115617,2021
shahpur,1074.8,4507.32,313.73,4193.59,2551.24,2440.66,safe,1262,43238,50500,2021
tarana,861.5,14037.3,0,14037.3,11088.78,11088.78,semi_critical,0,106580,106580,2021
sehore,1157.4,25094.36,1739.63,23354.73,14449.94,14027.99,safe,10945,133716,158425,2021
laundi,1092.7,9077.22,2756.22,6321,5285.11,4938.76,safe,18007,64254,84181,2021
chhapara,1323.6,6472.68,0,6472.68,4303.47,4303.47,safe,0,63240,73100,2021
khategaon,1069,12697.17,0,12697.17,10147.75,10147.75,semi_critical,0,87631,114500,2021
sailana,992.85,5530.86,0,5530.86,4670.47,4670.47,semi_critical,0,43800,53600,2021
segaon,782.9,5265.97,985.88,4280.09,2823.39,2671.41,safe,4137,35163,39850,2021
porsa,753,6344.37,4051.3,2293.07,2705.3,1611.21,safe,25307,20393,55000,2021
thandla,835.1,3709.09,0,3709.09,1818.96,1818.96,safe,0,48800,54300,2021
bhainsdehi,1074.8,10700.41,653.42,10046.99,3872.07,3714.07,safe,2179,99821,125700,2021
badod,1036.1,10923.24,0,10923.24,8215.24,8215.24,semi_critical,0,70083,73598,2021
ron,951,10058.76,7571.99,2486.77,2457.55,1233.26,safe,33064,10136,43200,2021
athner,1074.8,6490.24,379.19,6111.05,2985.03,2868.25,safe,1457,51843,85300,2021
gyaraspur,1071.4,11407.84,0,11407.84,7768.05,7768.05,semi_critical,0,84100,87200,2021
khurai,1205,9632.35,273.14,9359.21,4941.78,4896,safe,2199,88541,93700,2021
sihora,1279.45,8746.37,3088.4,5657.97,3420.6,3156.24,safe,12000,34384,46384,2021
mungaoli,926,12421.05,3834.37,8586.68,5139.11,4862.04,safe,8910,112546,122406,2021
amarpatan,1075.5,6256.73,1445.31,4811.42,4168.67,4098.12,semi_critical,2000,63231,65231,2021
piploda,992.85,12617.29,0,12617.29,19284.29,19284.29,over_exploited,0,60400,60400,2021
bajna,992.85,6495.83,1775.81,4720.02,5307.97,5075.74,semi_critical,8614,44886,68200,2021
phanda,1126.76,15266.8,0,15266.8,11468.21,11468.21,semi_critical,0,90107,92337,2021
ghatigaon,870,15619.47,3222.55,12396.92,3761.32,3569.4,safe,17900,113090,146890,2021
jhabua,835.1,2224.08,0,2224.08,1697.17,1697.17,semi_critical,0,41300,44000,2021
sihawal,1154.15,4488.6,1474.53,3014.07,1414.37,1317.54,safe,22280,43720,74500,2021
